"No.","Time","Source","Destination","Protocol","Length","Info"
"1122","3.276429","192.168.0.2","224.0.0.251","MDNS","103","Standard query 0x0001 PTR _233637DE._sub._googlecast._tcp.local, ""QU"" question PTR _googlecast._tcp.local, ""QU"" question"
"1123","3.276429","192.168.0.2","224.0.0.251","MDNS","103","Standard query 0x0001 PTR _233637DE._sub._googlecast._tcp.local, ""QU"" question PTR _googlecast._tcp.local, ""QU"" question"
"1124","3.276575","192.168.0.7","172.217.166.174","TCP","66","[TCP Dup ACK 1110#4] 1634  >  443 [ACK] Seq=1 Ack=48961 Win=260 Len=0 SLE=50321 SRE=55761"
"1125","3.276797","192.168.0.7","172.217.166.174","TCP","54","1634  >  443 [ACK] Seq=1 Ack=58481 Win=260 Len=0"
"1126","3.336546","192.168.0.2","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"1127","3.368203","172.217.166.174","192.168.0.7","SSL","1414","[TCP Previous segment not captured] , Continuation Data"
"1128","3.368261","192.168.0.7","172.217.166.174","TCP","66","[TCP Dup ACK 1125#1] 1634  >  443 [ACK] Seq=1 Ack=58481 Win=260 Len=0 SLE=59841 SRE=61201"
"1129","3.370627","172.217.166.174","192.168.0.7","SSL","1414","Continuation Data"
"1130","3.370673","192.168.0.7","172.217.166.174","TCP","66","[TCP Dup ACK 1125#2] 1634  >  443 [ACK] Seq=1 Ack=58481 Win=260 Len=0 SLE=59841 SRE=62561"
"1131","3.416867","172.217.166.174","192.168.0.7","SSL","1414","Continuation Data"
"1132","3.416924","192.168.0.7","172.217.166.174","TCP","66","[TCP Dup ACK 1125#3] 1634  >  443 [ACK] Seq=1 Ack=58481 Win=260 Len=0 SLE=59841 SRE=63921"
